MSCID,MSCCHART,MSCARTIST,MSCSTATUS,LASTUSERNAME,LASTCHANGEDATE,
301200005567,AMA;AMA;,Walt Wilson,No Fit,Administrator,2017.07.30 09:33:06,
301200005568,AAA;AAA;,Robert Craft,No Fit,Administrator,2017.07.30 09:36:16,
301200005589,AMA;AMA;AAA;AAA;,Worried Blues,No Fit,Administrator,2017.08.06 09:03:03,
301200005590,AMA;AMA;AAA;AAA;,David Rawlings,No Fit,Administrator,2017.08.06 09:05:22,
301200005591,AMA;AMA;AAA;AAA;,Fairbanks,No Fit,Administrator,2017.08.06 09:06:51,
301200005592,AMA;AMA;AAA;AAA;,Hope Country,No Fit,Administrator,2017.08.06 09:08:31,
301200005593,AMA;AMA;AAA;AAA;,Shelby Lynn,No Fit,Administrator,2017.08.06 09:12:56,
301200005594,AMA;AMA;AAA;AAA;,Flagship Romance,No Fit,Administrator,2017.08.06 09:15:06,
301200005595,AAA;AAA;,Mark Hayes,No Fit,Administrator,2017.08.06 09:16:55,
301200005596,AMA;AMA;AAA;AAA;,Jeremy Pinnell,No Fit,Administrator,2017.08.06 09:18:21,
301200005597,AMA;AMA;AAA;AAA;,Applewood Road,No Fit,Administrator,2017.08.06 09:20:01,
301200005598,AMA;AMA;AAA;AAA;,Dan Fletcher,No Fit,Administrator,2017.08.06 09:24:31,
301200005599,AMA;AMA;AAA;AAA;,Eddie Berman,No Fit,Administrator,2017.08.06 09:26:13,
301200005600,AMA;AMA;AAA;AAA;,Steve Azar,No Fit,Administrator,2017.08.06 09:31:52,
301200005601,AMA;AMA;AAA;AAA;,Mike McQuire,No Fit,Administrator,2017.08.06 09:32:15,
301200005602,AMA;AMA;AAA;AAA;,Shira,No Fit,Administrator,2017.08.06 09:36:40,
301200005603,AMA;AMA;AAA;AAA;,Forrest Hill,No Fit,Administrator,2017.08.06 09:39:17,
301200005604,AMA;AMA;AAA;AAA;,JF and Biggie,No Fit,Administrator,2017.08.06 09:41:02,
301200005605,AMA;AMA;AAA;AAA;,Dead Rock West,No Fit,Administrator,2017.08.06 09:42:42,
301200005606,AMA;AMA;AAA;AAA;,Ty Hall,No Fit,Administrator,2017.08.06 09:46:59,
301200005607,AMA;AMA;AAA;AAA;,Albon James,No Fit,Administrator,2017.08.06 09:51:02,
301200005608,AMA;AMA;AAA;AAA;,Blood,No Fit,Administrator,2017.08.06 09:52:29,
301200005609,AMA;AMA;AAA;AAA;,RJ Daniel,No Fit,Administrator,2017.08.06 09:53:35,
301200005610,AMA;AMA;AAA;AAA;,Don Zlontnick,No Fit,Administrator,2017.08.06 09:56:01,
301200005611,AMA;AMA;AAA;AAA;,Stanton Moore,No Fit,Administrator,2017.08.06 09:58:43,
301200005612,AMA;AMA;AAA;AAA;,Xanthe Alexis,No Fit,Administrator,2017.08.06 10:00:22,
301200005613,AMA;AMA;AAA;AAA;,Ben Hunter,No Fit,Administrator,2017.08.06 10:02:13,
301200005614,AMA;AMA;AAA;AAA;,Jillette Johmson,No Fit,Administrator,2017.08.06 10:04:34,
301200005615,AMA;AMA;AAA;AAA;,India Ramey,No Fit,Administrator,2017.08.06 10:04:57,
301200005616,AMA;AMA;AAA;AAA;,Black Note Graffite,No Fit - Tinder Box Put Focus Track Names on Label,Administrator,2017.08.06 10:07:52,
301200005617,AMA;AMA;AAA;AAA;,Killerwhale,No Fit,Administrator,2017.08.06 10:08:53,
301200005618,AAA;AAA;,Elliot Schneider,No Fit,Administrator,2017.08.06 10:10:25,
301200005619,AMA;AMA;AAA;AAA;,Humming House,No Fit,Administrator,2017.08.06 10:11:40,
301200005620,AMA;AMA;AAA;AAA;,Tom Macleear,No Fit,Administrator,2017.08.06 10:18:33,
301200005621,AMA;AMA;AAA;AAA;,Gloria Aton,No Fit,Administrator,2017.08.06 10:22:06,
301200005622,AMA;AMA;AAA;AAA;,Sweetback Sisters,No Fit,Administrator,2017.08.06 10:22:50,
301200005623,AMA;AMA;AAA;AAA;,Darryl Ellyson,No Fit,Administrator,2017.08.06 10:24:16,
301200005624,AMA;AMA;AAA;AAA;,Calico,No Fit,Administrator,2017.08.06 10:25:39,
301200005625,AMA;AMA;AAA;AAA;,these fine moments,No Fit,Administrator,2017.08.06 10:29:49,
301200005626,AMA;AMA;AAA;AAA;,Jason Ricci,No Fit,Administrator,2017.08.06 10:30:16,
301200005627,AMA;AMA;AAA;AAA;,Jimmy Lumpkin,No Fit,Administrator,2017.08.06 10:35:27,
301200005628,AMA;AMA;AAA;AAA;,Eli Cook,No Fit,Administrator,2017.08.06 10:35:55,
301200005629,AMA;AMA;AAA;AAA;,Old Salt Union,No Fit,Administrator,2017.08.06 10:41:13,
301200005630,AMA;AMA;AAA;AAA;,A~J. Croce,No Fit,Administrator,2017.08.06 10:43:17,
301200005631,AMA;AMA;AAA;AAA;,David Leivick,No Fit,Administrator,2017.08.06 10:45:12,
301200005642,AMA;AMA;AAA;AAA;,Eugene Chrysler,No Fit,Administrator,2017.08.13 15:03:43,
301200005643,AMA;AMA;AAA;AAA;,Jolie Holland,No Fit,Administrator,2017.08.13 15:12:17,
301200005644,AMA;AMA;AAA;AAA;,Chelsea Williams,No Fit,Administrator,2017.08.13 15:17:18,
301200005646,AMA;AMA;AAA;AAA;,Mosquitos,No Fit,Administrator,2017.08.13 15:28:21,
301200005648,AMA;AMA;AAA;AAA;,Rick Estrin,No Fit,Administrator,2017.08.13 15:46:01,
301200005649,AAA;AAA;,King Schascha,No Fit,Administrator,2017.08.13 15:51:44,
301200005651,AMA;AMA;AAA;AAA;,Matt Prattner,No Fit,Administrator,2017.08.13 16:01:52,
301200005652,AMA;AMA;AAA;AAA;,Karen and the sorrows,No Fit,Administrator,2017.08.13 16:04:56,
301200005645,AMA;AMA;AAA;AAA;,Michael Gaither,No Fit,Administrator,2017.08.13 15:18:51,
301200005647,AMA;AMA;AAA;AAA;,India Ramey,No Fit,Administrator,2017.08.13 15:43:17,
301200005650,AMA;AMA;AAA;AAA;,Blank Range,No Fit,Administrator,2017.08.13 15:57:18,
301200005660,AMA;AMA;AAA;AAA;,Tim Bennett,No Fit,Administrator,2017.08.20 14:31:41,
301200005661,AMA;AMA;AAA;AAA;,The Domesticcs,No Fit,Administrator,2017.08.20 14:40:38,
301200005662,AMA;AMA;AAA;AAA;,Brandon Whyde,No Fit,Administrator,2017.08.20 14:47:19,
301200005663,AAA;AAA;,Kim Simmons,No Fit,Administrator,2017.08.20 14:47:35,
301200005664,AMA;AMA;AAA;AAA;,Rick Shea,No Fit,Administrator,2017.08.20 14:49:26,
301200005665,AMA;AMA;AAA;AAA;,Robert Cline,No Fit,Administrator,2017.08.20 14:53:11,
301200005666,AMA;AMA;AAA;AAA;,Dale Ann Bradley,No Fit,Administrator,2017.08.20 15:02:19,
301200005667,AMA;AMA;AAA;AAA;,Morgan Saint,No Fit,Administrator,2017.08.20 15:03:43,
301200005668,AMA;AMA;AAA;AAA;,Charlie Parr,No Fit,Administrator,2017.08.20 15:06:14,
301200005669,AMA;AMA;AAA;AAA;,Emi Sunshine,No Fit,Administrator,2017.08.20 15:07:31,
301200005670,AMA;AMA;AAA;AAA;,Bad Mary,No Fit,Administrator,2017.08.20 15:09:15,
301200005671,AMA;AMA;AAA;AAA;,Couch Jackets,No Fit,Administrator,2017.08.20 15:12:51,
301200005672,AMA;AMA;AAA;AAA;,KinLin,No Fit,Administrator,2017.08.20 15:15:31,
301200005673,AMA;AMA;AAA;AAA;,Troubadour 77,No Fit,Administrator,2017.08.20 15:19:35,
301200005674,AMA;AMA;AAA;AAA;,Pint and a Half,No Fit,Administrator,2017.08.20 15:25:06,
301200005675,AMA;AMA;AAA;AAA;,Blake Berglund,No Fit,Administrator,2017.08.20 15:30:23,
301200005676,AMA;AMA;AAA;AAA;,Charlie Karp,No Fit,Administrator,2017.08.20 15:31:37,
301200005677,AMA;AMA;AAA;AAA;,Thunder Ann Crockett,No Fit,Administrator,2017.08.20 15:37:16,
301200005678,AMA;AMA;AAA;AAA;,Michael Askin,No Fit,Administrator,2017.08.20 15:38:58,
301200005679,AMA;AMA;AAA;AAA;,Scott Kirby,No Fit,Administrator,2017.08.20 15:39:51,
301200005680,AMA;AMA;AAA;AAA;,Wayne Goodman,No Fit,Administrator,2017.08.20 15:40:51,
301200005681,AMA;AMA;AAA;AAA;,Nu Blu,No Fit,Administrator,2017.08.20 15:43:46,
301200005695,AMA;AMA;AAA;AAA;,Flying Salvias,No Fit,Administrator,2017.08.26 11:21:16,
301200005696,AMA;AMA;AAA;AAA;,Jimmy Lumpkin,No Fit,Administrator,2017.08.26 11:32:19,
301200005697,AMA;AMA;AAA;AAA;,Rachel Price,No Fit,Administrator,2017.08.26 11:34:54,
301200005698,AMA;AMA;AAA;AAA;,Bill Feehely,No Fit,Administrator,2017.08.26 11:52:12,
301200005699,AMA;AMA;AAA;AAA;,Tom Feldmann,No Fit,Administrator,2017.08.26 11:54:17,
301200005700,AMA;AMA;AAA;AAA;,Jeff Mix,No Fit,Administrator,2017.08.26 12:11:22,
